821691,827405
2583549,2584419
1315888,1317509
755707,757490
944451,946216
1771474,1773642
1638804,1643800
2192650,2196282
2397158,2401935
825922,827753
1300271,1303685
1880900,1883909
1263106,1266431
428605,431152
2980329,2982834
1291034,1296844
587526,591503
2842701,2847467
883081,887437
569103,573658
2770099,2772311
1104685,1106840
2144175,2146225
2902428,2906607
847846,851175
2601632,2605304
1797217,1800737
2745563,2747376
1190819,1194380
405102,408079
889121,892286
2697755,2702669
2837318,2839076
2311844,2313373
1457607,1464576
786174,790174
2345613,2350076
2220739,2223273
2011835,2014411
2633661,2636337
155910,160333
1438670,1441999
1019925,1023075
136748,142553
1557818,1559278
2011693,2014168
363214,366558
573468,577031
394155,395271
974054,977406
498514,501953
1132956,1134384
1196920,1200625
61943,65355
57229,60604
2715588,2717621
1588764,1591805
2628744,2632207
1900644,1902470
2022760,2024322
1536545,1537861
2739458,2742661
2633128,2636209
147598,151460
2860379,2862376
1140496,1145138
2720881,2725681
2910273,2915492
2059114,2061217
2728211,2729351
780359,783126
2274168,2276569
2919076,2921216
1553515,1558399
942984,944461
2266459,2268101
104394,107307
1898353,1900852
2502797,2507953
1576840,1579126
1680355,1682546
1737721,1740902
2174400,2181661
2248459,2251971
1126318,1133393
2010908,2013993
1742901,1748794
2315556,2319718
278359,281853
2396433,2400766
283043,288646
1969461,1973183
2437029,2441146
265213,271604
1150592,1152335
2238682,2243844
1424071,1427074
964190,966503
2489978,2493342
1846194,1849937
1303305,1304619
1564926,1567487
1202609,1206990
2038266,2040831
2472270,2477506
2672397,2676435
2033835,2039264
84850,86596
2245946,2250517
954313,960187
1684800,1688103
2767774,2771052
2147593,2151201
138271,143372
1404097,1407928
1491135,1493771
218407,220695
2499819,2501986
2879970,2884869
658302,661058
919178,921221
2362652,2366305
321524,323193
1414703,1416594
1745257,1749421
2762826,2764223
2380276,2382456
2136481,2140019
601938,607220
2258953,2262563
2655698,2660640
2736918,2741282
1644519,1646408
1245270,1247417
1942141,1944443
2272898,2276105
549372,552517
2420698,2423246
486415,492921
78422,81909
2300836,2303946
2763653,2765685
334632,336258
817007,819862
2973564,2977577
502806,505193
2796471,2801048
1228168,1230215
2666382,2672125
2608918,2614641
1198740,1201086
2524021,2526714
937284,940160
2747328,2752216
861393,864417
2220179,2223350
1693521,1697704
1052213,1057812
2629292,2632605
765246,767708
24875,26858
1224014,1228047
644496,647060
1404546,1408032
2193577,2196376
1035315,1037494
619885,623480
397354,402209
178657,182921
538072,543172
2207642,2216212
459984,464013
663900,665557
2694504,2697692
1089342,1091102
1304338,1306169
1065260,1067978
2579368,2582241
814829,818868
2705034,2708011
1871340,1873889
2994077,2998904
2773482,2777995
821023,827277
165970,170022
486245,492311
263977,269569
189696,192003
718999,721306
1279568,1280982
760368,764640
94638,96827
755960,757917
567691,573444
1692310,1697778
1299506,1302346
2732962,2737915
838911,841048
2809817,2811858
1557020,1559241
1266663,1270248
2791001,2792286
2979432,2982510
1745348,1749445
2972026,2976772
747023,752306
1191184,1194992
1889471,1891722
1588588,1591616
2554277,2556184
1804889,1810375
2235435,2238467
2828148,2831875
1397985,1399529
28574,29567
2419688,2422448
2047759,2051221
305702,311401
1053785,1058533
2985171,2989403
1958641,1961860
1822773,1824502
2636708,2639810
430974,432730
1289599,1296381
2620772,2624006
2941721,2944414
1742572,1745251
313822,317441
2955723,2957579
2353470,2358180
1720295,1724397
1602834,1604355
2328332,2332421
410694,413648
2416209,2419266
1883979,1886879
723617,726652
873745,878416
2907853,2913766
2649206,2652137
1299658,1302775
1645719,1650420
475387,478906
433943,439674
602947,608416
670361,677991
19302,22973
666682,670593
2783385,2785584
715144,719574
1689906,1695790
2717182,2718350
1064228,1067726
